term,category,shape,n_words,family,operator,variant,outcome,exact,output,mozhi_edits
Ethernet,networking,single_word,1,synthetic,drop_last,etherne,recovered,yes,please check the Ethernet now,etherne -> Ethernet
Ethernet,networking,single_word,1,synthetic,split_word,eth ernet,recovered,yes,please check the Ethernet now,eth ernet -> Ethernet
Ethernet,networking,single_word,1,synthetic,vowel_swap,ethernat,recovered,yes,please check the Ethernet now,ethernat -> Ethernet
Ethernet,networking,single_word,1,synthetic,consonant_swap,etherned,recovered,yes,please check the Ethernet now,etherned -> Ethernet
Ethernet,networking,single_word,1,synthetic,double_consonant,ethhernet,recovered,yes,please check the Ethernet now,ethhernet -> Ethernet
Ethernet,networking,single_word,1,synthetic,split_word,ethe rnet,recovered,yes,please check the Ethernet now,ethe rnet -> Ethernet
Ethernet,networking,single_word,1,synthetic,vowel_swap,uthernet,missed,no,please check the uthernet now,
OS,software,acronym,1,canonical,canonical,OS,recovered,yes,please check the OS now,
OS,software,acronym,1,acronym_map,acronym_map,oh ess,recovered,yes,please check the OS now,oh ess -> OS
OS,software,acronym,1,spelled,spelled_alt,owe es,missed,no,please check the owe es now,
RAID,hardware,acronym,1,canonical,canonical,RAID,recovered,yes,please check the RAID now,
RAID,hardware,acronym,1,spelled,spelled,are ay eye dee,recovered,yes,please check the RAID now,are ay eye dee -> RAID
RAID,hardware,acronym,1,spelled,spelled_alt,ar eh i di,recovered,yes,please check the RAID now,ar eh i di -> RAID
RAID,hardware,acronym,1,synthetic,vowel_swap,reid,recovered,yes,please check the RAID now,reid -> RAID
RAID,hardware,acronym,1,synthetic,consonant_swap,rait,recovered,yes,please check the RAID now,rait -> RAID
RAID,hardware,acronym,1,synthetic,add_suffix,raidt,recovered,yes,please check the RAID now,raidt -> RAID
RAID,hardware,acronym,1,synthetic,respell,rayd,recovered,yes,please check the RAID now,rayd -> RAID
RAID,hardware,acronym,1,synthetic,vowel_swap,riid,recovered,yes,please check the RAID now,riid -> RAID
RAID,hardware,acronym,1,synthetic,consonant_swap,laid,missed,no,please check the laid now,
RAID,hardware,acronym,1,synthetic,vowel_swap,roid,recovered,yes,please check the RAID now,roid -> RAID
RAID,hardware,acronym,1,synthetic,vowel_swap,ruid,recovered,yes,please check the RAID now,ruid -> RAID
RAID,hardware,acronym,1,synthetic,vowel_swap,raod,recovered,yes,please check the RAID now,raod -> RAID
RAID,hardware,acronym,1,synthetic,vowel_swap,raed,recovered,yes,please check the RAID now,raed -> RAID
NAS,hardware,acronym,1,canonical,canonical,NAS,recovered,yes,please check the NAS now,
NAS,hardware,acronym,1,spelled,spelled,en ay ess,recovered,yes,please check the NAS now,en ay ess -> NAS
NAS,hardware,acronym,1,spelled,spelled_alt,enn eh es,recovered,yes,please check the NAS now,enn eh es -> NAS
NAS,hardware,acronym,1,synthetic,vowel_swap,nes,missed,no,please check the nes now,
NAS,hardware,acronym,1,synthetic,consonant_swap,mas,missed,no,please check the mas now,
NAS,hardware,acronym,1,synthetic,add_suffix,nasd,recovered,yes,please check the NAS now,nasd -> NAS
NAS,hardware,acronym,1,synthetic,vowel_swap,nus,missed,no,please check the nus now,
NAS,hardware,acronym,1,synthetic,consonant_swap,naz,missed,no,please check the naz now,
NAS,hardware,acronym,1,synthetic,add_suffix,nast,recovered,yes,please check the NAS now,nast -> NAS
NAS,hardware,acronym,1,synthetic,vowel_swap,nis,missed,no,please check the nis now,
NAS,hardware,acronym,1,synthetic,vowel_swap,nos,missed,no,please check the nos now,
ISP,networking,acronym,1,canonical,canonical,ISP,recovered,yes,please check the ISP now,
ISP,networking,acronym,1,acronym_map,acronym_map,eye ess pea,recovered,yes,please check the ISP now,eye ess pea -> ISP
ISP,networking,acronym,1,spelled,spelled_alt,i es pee,recovered,yes,please check the ISP now,i es pee -> ISP
MAC address,networking,phrase,2,canonical,canonical,MAC address,recovered,yes,please check the MAC address now,
MAC address,networking,phrase,2,acronym_map,acronym_map,em ay see,recovered,yes,please check the MAC address now,em ay see -> MAC address
MAC address,networking,phrase,2,spelled_token,spell_token,em ay see address,garbled,no,please check the MAC address IP address now,em ay see -> MAC address; address -> IP address
MAC address,networking,phrase,2,synthetic,vowel_swap,mac eddress,recovered,yes,please check the MAC address now,mac eddress -> MAC address
MAC address,networking,phrase,2,synthetic,consonant_swap,mac atdress,recovered,yes,please check the MAC address now,mac atdress -> MAC address
MAC address,networking,phrase,2,synthetic,double_consonant,mac adress,recovered,yes,please check the MAC address now,mac adress -> MAC address
MAC address,networking,phrase,2,synthetic,drop_last,mac addres,recovered,yes,please check the MAC address now,mac addres -> MAC address
MAC address,networking,phrase,2,synthetic,split_word,mac add ress,garbled,no,please check the MAC address ress now,mac add -> MAC address
MAC address,networking,phrase,2,synthetic,merge_words,macaddress,missed,no,please check the macaddress now,
MAC address,networking,phrase,2,synthetic,swap_words,address mac,recovered,yes,please check the MAC address now,address mac -> MAC address
MAC address,networking,phrase,2,synthetic,vowel_swap,mac uddress,missed,no,please check the mac uddress now,
MAC address,networking,phrase,2,synthetic,consonant_swap,mac addresz,recovered,yes,please check the MAC address now,mac addresz -> MAC address
MAC address,networking,phrase,2,synthetic,double_consonant,mac addrress,recovered,yes,please check the MAC address now,mac addrress -> MAC address
localhost,networking,single_word,1,canonical,canonical,localhost,recovered,yes,please check the localhost now,
localhost,networking,single_word,1,synthetic,vowel_swap,lacalhost,recovered,yes,please check the localhost now,lacalhost -> localhost
localhost,networking,single_word,1,synthetic,consonant_swap,localhosd,recovered,yes,please check the localhost now,localhosd -> localhost
localhost,networking,single_word,1,synthetic,double_consonant,localhhost,recovered,yes,please check the localhost now,localhhost -> localhost
localhost,networking,single_word,1,synthetic,drop_last,localhos,recovered,yes,please check the localhost now,localhos -> localhost
localhost,networking,single_word,1,synthetic,split_word,loc alhost,recovered,yes,please check the localhost now,loc alhost -> localhost
localhost,networking,single_word,1,synthetic,vowel_swap,localhust,recovered,yes,please check the localhost now,localhust -> localhost
localhost,networking,single_word,1,synthetic,consonant_swap,lokalhost,recovered,yes,please check the localhost now,lokalhost -> localhost
localhost,networking,single_word,1,synthetic,double_consonant,localhosst,recovered,yes,please check the localhost now,localhosst -> localhost
localhost,networking,single_word,1,synthetic,split_word,loca lhost,recovered,yes,please check the localhost now,loca lhost -> localhost
localhost,networking,single_word,1,synthetic,vowel_swap,localhist,recovered,yes,please check the localhost now,localhist -> localhost
endpoint,networking,single_word,1,canonical,canonical,endpoint,recovered,yes,please check the endpoint now,
endpoint,networking,single_word,1,synthetic,vowel_swap,andpoint,recovered,yes,please check the endpoint now,andpoint -> endpoint
endpoint,networking,single_word,1,synthetic,consonant_swap,endpoimt,recovered,yes,please check the endpoint now,endpoimt -> endpoint
endpoint,networking,single_word,1,synthetic,double_consonant,enddpoint,recovered,yes,please check the endpoint now,enddpoint -> endpoint
endpoint,networking,single_word,1,synthetic,drop_last,endpoin,recovered,yes,please check the endpoint now,endpoin -> endpoint
endpoint,networking,single_word,1,synthetic,respell,endpoynt,recovered,yes,please check the endpoint now,endpoynt -> endpoint
endpoint,networking,single_word,1,synthetic,split_word,endpo int,recovered,yes,please check the endpoint now,endpo int -> endpoint
endpoint,networking,single_word,1,synthetic,vowel_swap,ondpoint,recovered,yes,please check the endpoint now,ondpoint -> endpoint
endpoint,networking,single_word,1,synthetic,consonant_swap,emdpoint,recovered,yes,please check the endpoint now,emdpoint -> endpoint
endpoint,networking,single_word,1,synthetic,double_consonant,endpoinnt,recovered,yes,please check the endpoint now,endpoinnt -> endpoint
endpoint,networking,single_word,1,synthetic,split_word,endp oint,recovered,yes,please check the endpoint now,endp oint -> endpoint
backup,general,single_word,1,canonical,canonical,backup,recovered,yes,please check the backup now,
backup,general,single_word,1,synthetic,vowel_swap,bickup,recovered,yes,please check the backup now,bickup -> backup
backup,general,single_word,1,synthetic,consonant_swap,bakkup,recovered,yes,please check the backup now,bakkup -> backup
backup,general,single_word,1,synthetic,double_consonant,backkup,recovered,yes,please check the backup now,backkup -> backup
backup,general,single_word,1,synthetic,drop_last,backu,recovered,yes,please check the backup now,backu -> backup
backup,general,single_word,1,synthetic,respell,bakup,recovered,yes,please check the backup now,bakup -> backup
backup,general,single_word,1,synthetic,vowel_swap,backap,recovered,yes,please check the backup now,backap -> backup
backup,general,single_word,1,synthetic,consonant_swap,backub,missed,no,please check the backub now,
backup,general,single_word,1,synthetic,double_consonant,bacckup,recovered,yes,please check the backup now,bacckup -> backup
backup,general,single_word,1,synthetic,vowel_swap,backep,recovered,yes,please check the backup now,backep -> backup
backup,general,single_word,1,synthetic,consonant_swap,packup,missed,no,please check the packup now,
restore,general,single_word,1,canonical,canonical,restore,recovered,yes,please check the restore now,
restore,general,single_word,1,synthetic,vowel_swap,restoru,recovered,yes,please check the restore now,restoru -> restore
restore,general,single_word,1,synthetic,consonant_swap,restole,recovered,yes,please check the restore now,restole -> restore
restore,general,single_word,1,synthetic,double_consonant,restorre,recovered,yes,please check the restore now,restorre -> restore
restore,general,single_word,1,synthetic,drop_last,restor,recovered,yes,please check the restore now,restor -> restore
restore,general,single_word,1,synthetic,split_word,res tore,recovered,yes,please check the restore now,res tore -> restore
restore,general,single_word,1,synthetic,vowel_swap,resture,recovered,yes,please check the restore now,resture -> restore
restore,general,single_word,1,synthetic,consonant_swap,resdore,recovered,yes,please check the restore now,resdore -> restore
restore,general,single_word,1,synthetic,double_consonant,resstore,recovered,yes,please check the restore now,resstore -> restore
restore,general,single_word,1,synthetic,split_word,rest ore,recovered,yes,please check the restore now,rest ore -> restore
restore,general,single_word,1,synthetic,vowel_swap,restare,recovered,yes,please check the restore now,restare -> restore
database,software,single_word,1,canonical,canonical,database,recovered,yes,please check the database now,
database,software,single_word,1,synthetic,vowel_swap,dotabase,recovered,yes,please check the database now,dotabase -> database
database,software,single_word,1,synthetic,consonant_swap,databaze,recovered,yes,please check the database now,databaze -> database
database,software,single_word,1,synthetic,double_consonant,dattabase,recovered,yes,please check the database now,dattabase -> database
database,software,single_word,1,synthetic,drop_last,databas,recovered,yes,please check the database now,databas -> database
database,software,single_word,1,synthetic,respell,databace,recovered,yes,please check the database now,databace -> database
database,software,single_word,1,synthetic,split_word,data base,recovered,yes,please check the database now,data base -> database
database,software,single_word,1,synthetic,vowel_swap,ditabase,recovered,yes,please check the database now,ditabase -> database
database,software,single_word,1,synthetic,consonant_swap,datapase,recovered,yes,please check the database now,datapase -> database
database,software,single_word,1,synthetic,double_consonant,databasse,recovered,yes,please check the database now,databasse -> database
database,software,single_word,1,synthetic,split_word,datab ase,recovered,yes,please check the database now,datab ase -> database
SQL,software,acronym,1,canonical,canonical,SQL,recovered,yes,please check the SQL now,
SQL,software,acronym,1,acronym_map,acronym_map,ess cue ell,recovered,yes,please check the SQL now,ess cue ell -> SQL
SQL,software,acronym,1,spelled,spelled,ess queue el,recovered,yes,please check the SQL now,ess queue el -> SQL
SQL,software,acronym,1,spelled,spelled_alt,es kyu ell,recovered,yes,please check the SQL now,es kyu ell -> SQL
server,networking,single_word,1,canonical,canonical,server,recovered,yes,please check the server now,
server,networking,single_word,1,synthetic,vowel_swap,surver,recovered,yes,please check the server now,surver -> server
server,networking,single_word,1,synthetic,consonant_swap,zerver,recovered,yes,please check the server now,zerver -> server
server,networking,single_word,1,synthetic,double_consonant,serrver,recovered,yes,please check the server now,serrver -> server
server,networking,single_word,1,synthetic,drop_last,serve,recovered,yes,please check the server now,serve -> server
server,networking,single_word,1,synthetic,respell,cerver,recovered,yes,please check the server now,cerver -> server
server,networking,single_word,1,synthetic,vowel_swap,servar,recovered,yes,please check the server now,servar -> server
server,networking,single_word,1,synthetic,consonant_swap,serfer,recovered,yes,please check the server now,serfer -> server
server,networking,single_word,1,synthetic,double_consonant,servver,recovered,yes,please check the server now,servver -> server
server,networking,single_word,1,synthetic,vowel_swap,sorver,recovered,yes,please check the server now,sorver -> server
server,networking,single_word,1,synthetic,consonant_swap,selver,missed,no,please check the selver now,
client,networking,single_word,1,canonical,canonical,client,recovered,yes,please check the client now,
client,networking,single_word,1,synthetic,vowel_swap,claent,recovered,yes,please check the client now,claent -> client
client,networking,single_word,1,synthetic,consonant_swap,cliend,recovered,yes,please check the client now,cliend -> client
client,networking,single_word,1,synthetic,double_consonant,cllient,recovered,yes,please check the client now,cllient -> client
client,networking,single_word,1,synthetic,drop_last,clien,recovered,yes,please check the client now,clien -> client
client,networking,single_word,1,synthetic,respell,clyent,recovered,yes,please check the client now,clyent -> client
client,networking,single_word,1,synthetic,vowel_swap,cloent,recovered,yes,please check the client now,cloent -> client
client,networking,single_word,1,synthetic,consonant_swap,cliemt,recovered,yes,please check the client now,cliemt -> client
client,networking,single_word,1,synthetic,double_consonant,cliennt,recovered,yes,please check the client now,cliennt -> client
client,networking,single_word,1,synthetic,vowel_swap,cliant,recovered,yes,please check the client now,cliant -> client
client,networking,single_word,1,synthetic,consonant_swap,crient,missed,no,please check the crient now,
proxy,networking,single_word,1,canonical,canonical,proxy,recovered,yes,please check the proxy now,
proxy,networking,single_word,1,synthetic,vowel_swap,pruxy,recovered,yes,please check the proxy now,pruxy -> proxy
proxy,networking,single_word,1,synthetic,consonant_swap,broxy,missed,no,please check the broxy now,
proxy,networking,single_word,1,synthetic,double_consonant,proxxy,recovered,yes,please check the proxy now,proxxy -> proxy
proxy,networking,single_word,1,synthetic,drop_last,prox,recovered,yes,please check the proxy now,prox -> proxy
proxy,networking,single_word,1,synthetic,respell,proxi,recovered,yes,please check the proxy now,proxi -> proxy
proxy,networking,single_word,1,synthetic,vowel_swap,prexy,recovered,yes,please check the proxy now,prexy -> proxy
proxy,networking,single_word,1,synthetic,consonant_swap,ploxy,missed,no,please check the ploxy now,
proxy,networking,single_word,1,synthetic,double_consonant,prroxy,recovered,yes,please check the proxy now,prroxy -> proxy
proxy,networking,single_word,1,synthetic,vowel_swap,praxy,recovered,yes,please check the proxy now,praxy -> proxy
proxy,networking,single_word,1,synthetic,vowel_swap,prixy,recovered,yes,please check the proxy now,prixy -> proxy
load balancer,networking,phrase,2,canonical,canonical,load balancer,recovered,yes,please check the load balancer now,
load balancer,networking,phrase,2,synthetic,vowel_swap,liad balancer,recovered,yes,please check the load balancer now,liad balancer -> load balancer
load balancer,networking,phrase,2,synthetic,consonant_swap,load balancel,recovered,yes,please check the load balancer now,load balancel -> load balancer
load balancer,networking,phrase,2,synthetic,double_consonant,load balanccer,recovered,yes,please check the load balancer now,load balanccer -> load balancer
load balancer,networking,phrase,2,synthetic,drop_last,load balance,recovered,yes,please check the load balancer now,load balance -> load balancer
load balancer,networking,phrase,2,synthetic,add_suffix,loadt balancer,recovered,yes,please check the load balancer now,loadt balancer -> load balancer
load balancer,networking,phrase,2,synthetic,respell,load balanser,recovered,yes,please check the load balancer now,load balanser -> load balancer
load balancer,networking,phrase,2,synthetic,split_word,load bala ncer,garbled,no,please check the load balancer ncer now,load bala -> load balancer
load balancer,networking,phrase,2,synthetic,merge_words,loadbalancer,missed,no,please check the loadbalancer now,
load balancer,networking,phrase,2,synthetic,swap_words,balancer load,recovered,yes,please check the load balancer now,balancer load -> load balancer
load balancer,networking,phrase,2,synthetic,vowel_swap,laad balancer,recovered,yes,please check the load balancer now,laad balancer -> load balancer
credentials,security,single_word,1,canonical,canonical,credentials,recovered,yes,please check the credentials now,
credentials,security,single_word,1,synthetic,vowel_swap,credentuals,recovered,yes,please check the credentials now,credentuals -> credentials
credentials,security,single_word,1,synthetic,consonant_swap,credentiars,recovered,yes,please check the credentials now,credentiars -> credentials
credentials,security,single_word,1,synthetic,double_consonant,credenttials,recovered,yes,please check the credentials now,credenttials -> credentials
credentials,security,single_word,1,synthetic,drop_last,credential,recovered,yes,please check the credentials now,credential -> credentials
credentials,security,single_word,1,synthetic,respell,credentyals,recovered,yes,please check the credentials now,credentyals -> credentials
credentials,security,single_word,1,synthetic,split_word,cred entials,recovered,yes,please check the credentials now,cred entials -> credentials
credentials,security,single_word,1,synthetic,vowel_swap,credentiuls,recovered,yes,please check the credentials now,credentiuls -> credentials
credentials,security,single_word,1,synthetic,consonant_swap,credemtials,recovered,yes,please check the credentials now,credemtials -> credentials
credentials,security,single_word,1,synthetic,double_consonant,credentialls,recovered,yes,please check the credentials now,credentialls -> credentials
credentials,security,single_word,1,synthetic,split_word,creden tials,recovered,yes,please check the credentials now,creden tials -> credentials
authentication,security,single_word,1,canonical,canonical,authentication,recovered,yes,please check the authentication now,
authentication,security,single_word,1,synthetic,vowel_swap,authenticetion,recovered,yes,please check the authentication now,authenticetion -> authentication
authentication,security,single_word,1,synthetic,consonant_swap,authenticadion,recovered,yes,please check the authentication now,authenticadion -> authentication
authentication,security,single_word,1,synthetic,double_consonant,authenticattion,recovered,yes,please check the authentication now,authenticattion -> authentication
authentication,security,single_word,1,synthetic,drop_last,authenticatio,garbled,no,please check the authentication,authenticatio now -> authentication
authentication,security,single_word,1,synthetic,respell,authenticashun,recovered,yes,please check the authentication now,authenticashun -> authentication
authentication,security,single_word,1,synthetic,split_word,authent ication,recovered,yes,please check the authentication now,authent ication -> authentication
authentication,security,single_word,1,synthetic,vowel_swap,authenticatien,recovered,yes,please check the authentication now,authenticatien -> authentication
authentication,security,single_word,1,synthetic,consonant_swap,authendication,recovered,yes,please check the authentication now,authendication -> authentication
authentication,security,single_word,1,synthetic,double_consonant,authenticcation,recovered,yes,please check the authentication now,authenticcation -> authentication
authentication,security,single_word,1,synthetic,respell,authenticatyon,recovered,yes,please check the authentication now,authenticatyon -> authentication
authorization,security,single_word,1,canonical,canonical,authorization,recovered,yes,please check the authorization now,
authorization,security,single_word,1,synthetic,vowel_swap,authoruzation,recovered,yes,please check the authorization now,authoruzation -> authorization
authorization,security,single_word,1,synthetic,consonant_swap,authorizatiom,garbled,no,please check the authorization,authorizatiom now -> authorization
authorization,security,single_word,1,synthetic,double_consonant,authorizzation,recovered,yes,please check the authorization now,authorizzation -> authorization
authorization,security,single_word,1,synthetic,drop_last,authorizatio,garbled,no,please check the authorization,authorizatio now -> authorization
authorization,security,single_word,1,synthetic,respell,authoryzation,recovered,yes,please check the authorization now,authoryzation -> authorization
authorization,security,single_word,1,synthetic,split_word,author ization,recovered,yes,please check the authorization now,author ization -> authorization
authorization,security,single_word,1,synthetic,vowel_swap,authorizotion,recovered,yes,please check the authorization now,authorizotion -> authorization
authorization,security,single_word,1,synthetic,consonant_swap,audhorization,recovered,yes,please check the authorization now,audhorization -> authorization
authorization,security,single_word,1,synthetic,double_consonant,authorrization,recovered,yes,please check the authorization now,authorrization -> authorization
authorization,security,single_word,1,synthetic,respell,authorizashun,recovered,yes,please check the authorization now,authorizashun -> authorization
certificate,security,single_word,1,canonical,canonical,certificate,recovered,yes,please check the certificate now,
certificate,security,single_word,1,synthetic,vowel_swap,certificete,recovered,yes,please check the certificate now,certificete -> certificate
certificate,security,single_word,1,synthetic,consonant_swap,kertificate,recovered,yes,please check the certificate now,kertificate -> certificate
certificate,security,single_word,1,synthetic,double_consonant,cerrtificate,recovered,yes,please check the certificate now,cerrtificate -> certificate
certificate,security,single_word,1,synthetic,drop_last,certificat,recovered,yes,please check the certificate now,certificat -> certificate
certificate,security,single_word,1,synthetic,respell,certifycate,recovered,yes,please check the certificate now,certifycate -> certificate
certificate,security,single_word,1,synthetic,split_word,certi ficate,recovered,yes,please check the certificate now,certi ficate -> certificate
certificate,security,single_word,1,synthetic,vowel_swap,certificata,recovered,yes,please check the certificate now,certificata -> certificate
certificate,security,single_word,1,synthetic,consonant_swap,certifikate,recovered,yes,please check the certificate now,certifikate -> certificate
certificate,security,single_word,1,synthetic,double_consonant,certtificate,recovered,yes,please check the certificate now,certtificate -> certificate
certificate,security,single_word,1,synthetic,respell,certyficate,recovered,yes,please check the certificate now,certyficate -> certificate
crash,general,single_word,1,canonical,canonical,crash,recovered,yes,please check the crash now,
crash,general,single_word,1,synthetic,vowel_swap,crush,recovered,yes,please check the crash now,crush -> crash
crash,general,single_word,1,synthetic,consonant_swap,krash,recovered,yes,please check the crash now,krash -> crash
crash,general,single_word,1,synthetic,double_consonant,crrash,recovered,yes,please check the crash now,crrash -> crash
crash,general,single_word,1,synthetic,drop_last,cras,recovered,yes,please check the crash now,cras -> crash
crash,general,single_word,1,synthetic,vowel_swap,crosh,recovered,yes,please check the crash now,crosh -> crash
crash,general,single_word,1,synthetic,consonant_swap,crazh,missed,no,please check the crazh now,
crash,general,single_word,1,synthetic,double_consonant,crassh,recovered,yes,please check the crash now,crassh -> crash
crash,general,single_word,1,synthetic,vowel_swap,crish,recovered,yes,please check the crash now,crish -> crash
crash,general,single_word,1,synthetic,consonant_swap,clash,missed,no,please check the clash now,
crash,general,single_word,1,synthetic,vowel_swap,cresh,recovered,yes,please check the crash now,cresh -> crash
memory leak,software,phrase,2,canonical,canonical,memory leak,recovered,yes,please check the memory leak now,
memory leak,software,phrase,2,synthetic,vowel_swap,memory leek,recovered,yes,please check the memory leak now,memory leek -> memory leak
memory leak,software,phrase,2,synthetic,consonant_swap,nemory leak,recovered,yes,please check the memory leak now,nemory leak -> memory leak
memory leak,software,phrase,2,synthetic,double_consonant,memorry leak,recovered,yes,please check the memory leak now,memorry leak -> memory leak
memory leak,software,phrase,2,synthetic,drop_last,memor leak,recovered,yes,please check the memory leak now,memor leak -> memory leak
memory leak,software,phrase,2,synthetic,add_suffix,memory leakt,recovered,yes,please check the memory leak now,memory leakt -> memory leak
memory leak,software,phrase,2,synthetic,respell,memori leak,recovered,yes,please check the memory leak now,memori leak -> memory leak
memory leak,software,phrase,2,synthetic,merge_words,memoryleak,missed,no,please check the memoryleak now,
memory leak,software,phrase,2,synthetic,swap_words,leak memory,missed,no,please check the leak memory now,
memory leak,software,phrase,2,synthetic,vowel_swap,memory liak,recovered,yes,please check the memory leak now,memory liak -> memory leak
memory leak,software,phrase,2,synthetic,consonant_swap,memory reak,missed,no,please check the memory reak now,
disk space,hardware,phrase,2,canonical,canonical,disk space,recovered,yes,please check the disk space now,
disk space,hardware,phrase,2,synthetic,vowel_swap,dusk space,recovered,yes,please check the disk space now,dusk space -> disk space
disk space,hardware,phrase,2,synthetic,consonant_swap,disk spake,recovered,yes,please check the disk space now,disk spake -> disk space
disk space,hardware,phrase,2,synthetic,double_consonant,disk sppace,recovered,yes,please check the disk space now,disk sppace -> disk space
disk space,hardware,phrase,2,synthetic,drop_last,disk spac,recovered,yes,please check the disk space now,disk spac -> disk space
disk space,hardware,phrase,2,synthetic,add_suffix,diskt space,recovered,yes,please check the disk space now,diskt space -> disk space
disk space,hardware,phrase,2,synthetic,respell,dysk space,recovered,yes,please check the disk space now,dysk space -> disk space
disk space,hardware,phrase,2,synthetic,merge_words,diskspace,missed,no,please check the diskspace now,
disk space,hardware,phrase,2,synthetic,swap_words,space disk,missed,no,please check the space disk now,
disk space,hardware,phrase,2,synthetic,vowel_swap,dosk space,recovered,yes,please check the disk space now,dosk space -> disk space
disk space,hardware,phrase,2,synthetic,consonant_swap,disg space,recovered,yes,please check the disk space now,disg space -> disk space
printer,hardware,single_word,1,canonical,canonical,printer,recovered,yes,please check the printer now,
printer,hardware,single_word,1,synthetic,vowel_swap,pranter,recovered,yes,please check the printer now,pranter -> printer
printer,hardware,single_word,1,synthetic,consonant_swap,plinter,recovered,yes,please check the printer now,plinter -> printer
printer,hardware,single_word,1,synthetic,double_consonant,printter,recovered,yes,please check the printer now,printter -> printer
printer,hardware,single_word,1,synthetic,drop_last,printe,recovered,yes,please check the printer now,printe -> printer
printer,hardware,single_word,1,synthetic,respell,prynter,recovered,yes,please check the printer now,prynter -> printer
printer,hardware,single_word,1,synthetic,split_word,pri nter,recovered,yes,please check the printer now,pri nter -> printer
printer,hardware,single_word,1,synthetic,vowel_swap,printar,recovered,yes,please check the printer now,printar -> printer
printer,hardware,single_word,1,synthetic,consonant_swap,primter,recovered,yes,please check the printer now,primter -> printer
printer,hardware,single_word,1,synthetic,double_consonant,prinnter,recovered,yes,please check the printer now,prinnter -> printer
printer,hardware,single_word,1,synthetic,split_word,prin ter,recovered,yes,please check the printer now,prin ter -> printer
driver,hardware,single_word,1,canonical,canonical,driver,recovered,yes,please check the driver now,
driver,hardware,single_word,1,synthetic,vowel_swap,drover,recovered,yes,please check the driver now,drover -> driver
driver,hardware,single_word,1,synthetic,consonant_swap,drivel,recovered,yes,please check the driver now,drivel -> driver
driver,hardware,single_word,1,synthetic,double_consonant,drriver,recovered,yes,please check the driver now,drriver -> driver
driver,hardware,single_word,1,synthetic,drop_last,drive,missed,no,please check the drive now,
driver,hardware,single_word,1,synthetic,respell,dryver,recovered,yes,please check the driver now,dryver -> driver
driver,hardware,single_word,1,synthetic,vowel_swap,druver,recovered,yes,please check the driver now,druver -> driver
driver,hardware,single_word,1,synthetic,consonant_swap,dliver,missed,no,please check the dliver now,
driver,hardware,single_word,1,synthetic,double_consonant,drivver,recovered,yes,please check the driver now,drivver -> driver
driver,hardware,single_word,1,synthetic,vowel_swap,drivar,recovered,yes,please check the driver now,drivar -> driver
driver,hardware,single_word,1,synthetic,consonant_swap,drifer,recovered,yes,please check the driver now,drifer -> driver
patch,software,single_word,1,canonical,canonical,patch,recovered,yes,please check the patch now,
patch,software,single_word,1,synthetic,vowel_swap,petch,recovered,yes,please check the patch now,petch -> patch
patch,software,single_word,1,synthetic,consonant_swap,patkh,missed,no,please check the patkh now,
patch,software,single_word,1,synthetic,double_consonant,pattch,recovered,yes,please check the patch now,pattch -> patch
patch,software,single_word,1,synthetic,drop_last,patc,missed,no,please check the patc now,
patch,software,single_word,1,synthetic,vowel_swap,putch,recovered,yes,please check the patch now,putch -> patch
patch,software,single_word,1,synthetic,consonant_swap,batch,missed,no,please check the batch now,
patch,software,single_word,1,synthetic,double_consonant,patcch,missed,no,please check the patcch now,
patch,software,single_word,1,synthetic,vowel_swap,pitch,recovered,yes,please check the patch now,pitch -> patch
patch,software,single_word,1,synthetic,consonant_swap,padch,missed,no,please check the padch now,
patch,software,single_word,1,synthetic,vowel_swap,potch,recovered,yes,please check the patch now,potch -> patch
hypervisor,hardware,single_word,1,canonical,canonical,hypervisor,recovered,yes,please check the hypervisor now,
hypervisor,hardware,single_word,1,synthetic,vowel_swap,hypervasor,recovered,yes,please check the hypervisor now,hypervasor -> hypervisor
hypervisor,hardware,single_word,1,synthetic,consonant_swap,hypervizor,recovered,yes,please check the hypervisor now,hypervizor -> hypervisor
hypervisor,hardware,single_word,1,synthetic,double_consonant,hypervissor,recovered,yes,please check the hypervisor now,hypervissor -> hypervisor
hypervisor,hardware,single_word,1,synthetic,drop_last,hyperviso,recovered,yes,please check the hypervisor now,hyperviso -> hypervisor
hypervisor,hardware,single_word,1,synthetic,respell,hipervisor,recovered,yes,please check the hypervisor now,hipervisor -> hypervisor
hypervisor,hardware,single_word,1,synthetic,split_word,hyperv isor,recovered,yes,please check the hypervisor now,hyperv isor -> hypervisor
hypervisor,hardware,single_word,1,synthetic,vowel_swap,hypirvisor,recovered,yes,please check the hypervisor now,hypirvisor -> hypervisor
hypervisor,hardware,single_word,1,synthetic,consonant_swap,hypelvisor,recovered,yes,please check the hypervisor now,hypelvisor -> hypervisor
hypervisor,hardware,single_word,1,synthetic,double_consonant,hyypervisor,recovered,yes,please check the hypervisor now,hyypervisor -> hypervisor
hypervisor,hardware,single_word,1,synthetic,respell,hypervysor,recovered,yes,please check the hypervisor now,hypervysor -> hypervisor
bootloader,hardware,single_word,1,canonical,canonical,bootloader,recovered,yes,please check the bootloader now,
bootloader,hardware,single_word,1,synthetic,vowel_swap,bootluader,recovered,yes,please check the bootloader now,bootluader -> bootloader
bootloader,hardware,single_word,1,synthetic,consonant_swap,boodloader,recovered,yes,please check the bootloader now,boodloader -> bootloader
